mainid(hidden),mod15(hidden),div15(hidden),"Age(feature, sensitive))",Speed(hidden),"Gender(feature,sensitive)",Strength(hidden),Speedtest(hidden),Lifttest(hidden),testresult(feature),livesnear(feature),Suitability(target),Value-when-hired(hidden),Candidate-loss-when-nothired(hidden),Should-hire(target),Shouldnothire,hired-by-expert,A1(testresult),"A2(testresult,30under)","A3(Age,Gender, test)",A4(postive-dicr)
225023,8,1,30,0,male,6,0,1,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225024,9,1,49,1,male,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,0,0,1
225025,10,1,44,1,male,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,0,0,1
225026,11,1,44,0,male,6,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,0,0,1
225027,12,1,47,0,male,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225028,13,1,42,0,male,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225029,14,1,41,0,male,6,0,1,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225030,0,2,21,2,male,6,1,1,2,1,4," 10,000 ",5000,1,0,1,1,1,1,1
225031,1,2,27,2,male,6,0.5,1,1.5,0,4," 10,000 ",5000,1,0,1,1,1,1,0
225032,2,2,24,1,male,6,1,1,2,1,3," 5,000 ",5000,1,0,1,1,1,1,1
225033,3,2,29,1,male,6,0.5,1,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225034,4,2,32,2,male,6,1,1,2,1,4," 10,000 ",5000,1,0,1,1,1,1,1
225035,5,2,36,1,male,6,1,1,2,1,3," 5,000 ",5000,1,0,1,1,1,1,1
225036,6,2,35,1,male,6,0.5,1,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225037,7,2,36,0,male,6,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,1,1,0
225038,8,2,36,0,male,6,0,1,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225039,9,2,44,1,male,6,0.5,1,1.5,0,3," 5,000 ",5000,1,0,0,1,0,0,1
225040,10,2,42,1,male,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,0,0,1
225041,11,2,44,0,male,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225042,12,2,49,0,male,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225043,13,2,47,0,male,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225044,14,2,40,0,male,6,0,1,1,1,1," -10,000 ",10,0,1,1,0,0,0,0
225045,0,3,22,2,male,6,1,0.5,1.5,0,4," 10,000 ",5000,1,0,1,1,1,1,0
225046,1,3,24,2,male,6,0.5,0.5,1,0,4," 10,000 ",5000,1,0,1,0,0,1,0
225047,2,3,21,1,male,6,1,0.5,1.5,1,3," 5,000 ",5000,1,0,1,1,1,1,0
225048,3,3,25,1,male,6,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,1,0
225049,4,3,33,2,male,6,1,0.5,1.5,0,4," 10,000 ",5000,1,0,1,1,1,1,0
225050,5,3,33,1,male,6,1,0.5,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225051,6,3,35,1,male,6,0.5,0.5,1,0,3," 5,000 ",5000,1,0,0,0,0,0,0
225052,7,3,39,0,male,6,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225053,8,3,31,0,male,6,0,0.5,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225054,9,3,48,1,male,6,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,0,0
225055,10,3,40,1,male,6,0.5,0.5,1,0,3," 5,000 ",5000,1,0,0,0,0,0,0
225056,11,3,41,0,male,6,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225057,12,3,43,0,male,6,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225058,13,3,41,0,male,6,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225059,14,3,47,0,male,6,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225060,0,4,20,2,male,6,1,0.5,1.5,0,4," 10,000 ",5000,1,0,1,1,1,1,0
225061,1,4,22,2,male,6,0.5,0.5,1,1,4," 10,000 ",5000,1,0,1,0,0,1,0
225062,2,4,23,1,male,6,1,0.5,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225063,3,4,24,1,male,6,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,1,0
225064,4,4,38,2,male,6,1,0.5,1.5,1,4," 10,000 ",5000,1,0,1,1,1,1,0
225065,5,4,39,1,male,6,1,0.5,1.5,1,3," 5,000 ",5000,1,0,1,1,1,1,0
225066,6,4,31,1,male,6,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,0,0
225067,7,4,37,0,male,6,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225068,8,4,31,0,male,6,0,0.5,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225069,9,4,41,1,male,6,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,0,0
225070,10,4,43,1,male,6,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,0,0
225071,11,4,47,0,male,6,0.5,0.5,1,1,1," -10,000 ",10,0,1,1,0,0,0,0
225072,12,4,42,0,male,6,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225073,13,4,41,0,male,6,0.5,0.5,1,0,1," -10,000 ",10,0,1,1,0,0,0,0
225074,14,4,49,0,male,6,0,0.5,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225075,0,5,26,2,male,6,1,0.5,1.5,0,4," 10,000 ",5000,1,0,1,1,1,1,0
225076,1,5,24,2,male,6,0.5,0.5,1,1,4," 10,000 ",5000,1,0,1,0,0,1,0
225077,2,5,21,1,male,6,1,0.5,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225078,3,5,26,1,male,6,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,1,0
225079,4,5,38,2,male,6,1,0.5,1.5,1,4," 10,000 ",5000,1,0,1,1,1,1,0
225080,5,5,33,1,male,6,1,0.5,1.5,1,3," 5,000 ",5000,1,0,1,1,1,1,0
225081,6,5,33,1,male,6,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,0,0
225082,7,5,35,0,male,6,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225083,8,5,33,0,male,6,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225084,9,5,45,1,male,6,0.5,0.5,1,0,3," 5,000 ",5000,1,0,0,0,0,0,0
225085,10,5,46,1,male,6,0.5,0.5,1,0,3," 5,000 ",5000,1,0,0,0,0,0,0
225086,11,5,46,0,male,6,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225087,12,5,47,0,male,6,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225088,13,5,46,0,male,6,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225089,14,5,40,0,male,6,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225090,0,6,25,2,male,5,1,1,2,0,3," 5,000 ",5000,1,0,0,1,1,1,1
225091,1,6,24,2,male,5,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,1,1,0
225092,2,6,22,1,male,5,1,1,2,1,2, 10 ,1000,0,1,0,1,1,1,1
225093,3,6,26,1,male,5,0.5,1,1.5,1,2, 10 ,1000,0,1,0,1,1,1,0
225094,4,6,30,2,male,5,1,1,2,1,3," 5,000 ",5000,1,0,1,1,1,1,1
225095,5,6,38,1,male,5,1,1,2,0,2, 10 ,1000,0,1,1,1,1,1,1
225096,6,6,33,1,male,5,0.5,1,1.5,0,2, 10 ,1000,0,1,0,1,1,1,0
225097,7,6,38,0,male,5,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,1,1,0
225098,8,6,32,0,male,5,0,1,1,1,1," -10,000 ",10,0,1,1,0,0,0,0
225099,9,6,45,1,male,5,0.5,1,1.5,0,2, 10 ,1000,0,1,0,1,0,0,1
225100,10,6,49,1,male,5,0.5,1,1.5,1,2, 10 ,1000,0,1,0,1,0,0,1
225101,11,6,44,0,male,5,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225102,12,6,43,0,male,5,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,0,0,1
225103,13,6,40,0,male,5,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,0,0,1
225104,14,6,42,0,male,5,0,1,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225105,0,7,21,2,male,5,1,0.5,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225106,1,7,24,2,male,5,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,1,0
225107,2,7,25,1,male,5,1,0.5,1.5,1,2, 10 ,1000,0,1,0,1,1,1,0
225108,3,7,26,1,male,5,0.5,0.5,1,0,2, 10 ,1000,0,1,0,0,0,1,0
225109,4,7,36,2,male,5,1,0.5,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225110,5,7,34,1,male,5,1,0.5,1.5,0,2, 10 ,1000,0,1,0,1,1,1,0
225111,6,7,32,1,male,5,0.5,0.5,1,0,2, 10 ,1000,0,1,0,0,0,0,0
225112,7,7,39,0,male,5,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225113,8,7,32,0,male,5,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225114,9,7,45,1,male,5,0.5,0.5,1,1,2, 10 ,1000,0,1,0,0,0,0,0
225115,10,7,41,1,male,5,0.5,0.5,1,0,2, 10 ,1000,0,1,0,0,0,0,0
225116,11,7,44,0,male,5,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225117,12,7,41,0,male,5,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225118,13,7,41,0,male,5,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225119,14,7,40,0,male,5,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225120,0,8,27,2,male,4,1,0.5,1.5,1,1," -10,000 ",10,0,1,0,1,1,1,0
225121,1,8,27,2,male,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,1,0
225122,2,8,26,1,male,4,1,0.5,1.5,0,1," -10,000 ",10,0,1,0,1,1,1,0
225123,3,8,28,1,male,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,1,0,0,1,0
225124,4,8,36,2,male,4,1,0.5,1.5,1,1," -10,000 ",10,0,1,0,1,1,1,0
225125,5,8,30,1,male,4,1,0.5,1.5,0,1," -10,000 ",10,0,1,0,1,1,1,0
225126,6,8,35,1,male,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225127,7,8,36,0,male,4,0.5,0.5,1,1,1," -10,000 ",10,0,1,1,0,0,0,0
225128,8,8,38,0,male,4,0,0.5,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225129,9,8,41,1,male,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225130,10,8,41,1,male,4,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225131,11,8,49,0,male,4,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225132,12,8,42,0,male,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225133,13,8,44,0,male,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225134,14,8,40,0,male,4,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225135,0,9,22,2,male,4,1,0,1,1,1," -10,000 ",10,0,1,0,0,0,1,0
225136,1,9,23,2,male,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225137,2,9,24,1,male,4,1,0,1,0,1," -10,000 ",10,0,1,0,0,0,1,0
225138,3,9,22,1,male,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225139,4,9,31,2,male,4,1,0,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225140,5,9,38,1,male,4,1,0,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225141,6,9,32,1,male,4,0.5,0,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225142,7,9,32,0,male,4,0.5,0,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225143,8,9,39,0,male,4,0,0,0,0,1," -10,000 ",10,0,1,1,0,0,0,0
225144,9,9,49,1,male,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225145,10,9,43,1,male,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225146,11,9,45,0,male,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225147,12,9,48,0,male,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225148,13,9,45,0,male,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225149,14,9,46,0,male,4,0,0,0,0,1," -10,000 ",10,0,1,0,0,0,0,0
225150,0,10,23,2,female,6,1,1,2,1,4," 10,000 ",5000,1,0,1,1,1,1,1
225151,1,10,28,2,female,6,0.5,1,1.5,1,4," 10,000 ",5000,1,0,1,1,1,1,1
225152,2,10,23,1,female,6,1,1,2,1,3," 5,000 ",5000,1,0,1,1,1,1,1
225153,3,10,25,1,female,6,0.5,1,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,1
225154,4,10,30,2,female,6,1,1,2,0,4," 10,000 ",5000,1,0,1,1,1,1,1
225155,5,10,35,1,female,6,1,1,2,0,3," 5,000 ",5000,1,0,0,1,1,1,1
225156,6,10,34,1,female,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,1,0,1
225157,7,10,36,0,female,6,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,1,0,1
225158,8,10,38,0,female,6,0,1,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225159,9,10,46,1,female,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,0,0,1
225160,10,10,40,1,female,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,0,0,1
225161,11,10,42,0,female,6,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,0,0,1
225162,12,10,47,0,female,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225163,13,10,40,0,female,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225164,14,10,40,0,female,6,0,1,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225165,0,11,28,2,female,5,1,0.5,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,1
225166,1,11,24,2,female,5,0.5,0.5,1,0,3," 5,000 ",5000,1,0,0,0,0,0,0
225167,2,11,22,1,female,5,1,0.5,1.5,0,2, 10 ,1000,0,1,0,1,1,1,1
225168,3,11,29,1,female,5,0.5,0.5,1,0,2, 10 ,1000,0,1,0,0,0,0,0
225169,4,11,36,2,female,5,1,0.5,1.5,1,3," 5,000 ",5000,1,0,1,1,1,0,1
225170,5,11,30,1,female,5,1,0.5,1.5,1,2, 10 ,1000,0,1,0,1,1,0,1
225171,6,11,37,1,female,5,0.5,0.5,1,0,2, 10 ,1000,0,1,0,0,0,0,0
225172,7,11,32,0,female,5,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225173,8,11,33,0,female,5,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225174,9,11,41,1,female,5,0.5,0.5,1,1,2, 10 ,1000,0,1,0,0,0,0,0
225175,10,11,40,1,female,5,0.5,0.5,1,1,2, 10 ,1000,0,1,0,0,0,0,0
225176,11,11,47,0,female,5,0.5,0.5,1,0,1," -10,000 ",10,0,1,1,0,0,0,0
225177,12,11,43,0,female,5,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225178,13,11,40,0,female,5,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225179,14,11,46,0,female,5,0,0.5,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225180,0,12,29,2,female,5,1,0.5,1.5,1,3," 5,000 ",5000,1,0,1,1,1,1,1
225181,1,12,29,2,female,5,0.5,0.5,1,1,3," 5,000 ",5000,1,0,1,0,0,0,0
225182,2,12,28,1,female,5,1,0.5,1.5,1,2, 10 ,1000,0,1,0,1,1,1,1
225183,3,12,21,1,female,5,0.5,0.5,1,0,2, 10 ,1000,0,1,0,0,0,0,0
225184,4,12,33,2,female,5,1,0.5,1.5,1,3," 5,000 ",5000,1,0,1,1,1,0,1
225185,5,12,34,1,female,5,1,0.5,1.5,1,2, 10 ,1000,0,1,0,1,1,0,1
225186,6,12,37,1,female,5,0.5,0.5,1,1,2, 10 ,1000,0,1,0,0,0,0,0
225187,7,12,35,0,female,5,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225188,8,12,32,0,female,5,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225189,9,12,44,1,female,5,0.5,0.5,1,1,2, 10 ,1000,0,1,0,0,0,0,0
225190,10,12,41,1,female,5,0.5,0.5,1,1,2, 10 ,1000,0,1,0,0,0,0,0
225191,11,12,45,0,female,5,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225192,12,12,49,0,female,5,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225193,13,12,48,0,female,5,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225194,14,12,47,0,female,5,0,0.5,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225195,0,13,26,2,female,4,1,0.5,1.5,1,1," -10,000 ",10,0,1,0,1,1,1,1
225196,1,13,25,2,female,4,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225197,2,13,28,1,female,4,1,0.5,1.5,1,1," -10,000 ",10,0,1,0,1,1,1,1
225198,3,13,21,1,female,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225199,4,13,34,2,female,4,1,0.5,1.5,0,1," -10,000 ",10,0,1,0,1,1,0,1
225200,5,13,39,1,female,4,1,0.5,1.5,0,1," -10,000 ",10,0,1,0,1,1,0,1
225201,6,13,33,1,female,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225202,7,13,31,0,female,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225203,8,13,31,0,female,4,0,0.5,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225204,9,13,49,1,female,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225205,10,13,47,1,female,4,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225206,11,13,43,0,female,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225207,12,13,49,0,female,4,0.5,0.5,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225208,13,13,48,0,female,4,0.5,0.5,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225209,14,13,49,0,female,4,0,0.5,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225210,0,14,23,2,female,4,1,0,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225211,1,14,24,2,female,4,0.5,0,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225212,2,14,23,1,female,4,1,0,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225213,3,14,20,1,female,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225214,4,14,36,2,female,4,1,0,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225215,5,14,38,1,female,4,1,0,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225216,6,14,31,1,female,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225217,7,14,38,0,female,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225218,8,14,35,0,female,4,0,0,0,0,1," -10,000 ",10,0,1,0,0,0,0,0
225219,9,14,47,1,female,4,0.5,0,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225220,10,14,42,1,female,4,0.5,0,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225221,11,14,43,0,female,4,0.5,0,0.5,1,1," -10,000 ",10,0,1,0,0,0,0,0
225222,12,14,40,0,female,4,0.5,0,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225223,13,14,47,0,female,4,0.5,0,0.5,0,1," -10,000 ",10,0,1,0,0,0,0,0
225224,14,14,47,0,female,4,0,0,0,0,1," -10,000 ",10,0,1,0,0,0,0,0
