Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision
x4957d,female,27,Belgian,Swimming,65,False,False,False,False,1,False,master,A,True
x6161a,female,24,Dutch,Swimming,57,False,False,False,False,1,True,bachelor,A,False
x1857b,female,27,Dutch,Chess,71,False,True,False,False,0,True,phd,A,False
x1617a,male,29,Dutch,Rugby,57,True,False,False,False,2,False,master,A,True
x7767d,male,23,Belgian,Tennis,67,False,True,False,False,1,True,bachelor,A,False
x1606b,female,25,Belgian,Chess,64,False,False,True,False,0,True,master,A,False
x1895e,female,28,German,Swimming,66,False,True,False,False,0,True,phd,A,False
x9841b,male,27,Dutch,Rugby,54,False,False,False,True,3,False,bachelor,A,False
x8103d,female,23,Dutch,Tennis,74,True,True,False,True,2,True,bachelor,A,False
x5524c,female,27,Dutch,Running,72,False,True,True,False,0,True,phd,A,False
x2176e,male,28,Dutch,Cricket,57,False,True,False,False,1,True,bachelor,A,False
x3503g,male,26,Dutch,Golf,63,False,False,True,False,2,False,phd,A,True
x9941d,male,26,Dutch,Rugby,56,False,False,False,False,2,False,bachelor,A,True
x5817b,female,27,Dutch,Football,61,False,False,False,True,2,False,bachelor,A,False
x4487d,male,28,Dutch,Tennis,62,False,False,False,False,2,False,bachelor,A,True
x6608c,female,28,Dutch,Chess,60,False,True,False,False,0,True,bachelor,A,False
x9988g,female,21,Dutch,Running,74,False,True,False,False,2,True,master,A,True
x6920d,male,23,Dutch,Tennis,56,False,False,False,False,1,False,bachelor,A,False
x3747b,female,25,Dutch,Swimming,68,False,False,False,False,1,True,master,A,False
x5891c,male,28,Dutch,Rugby,59,False,False,True,False,1,False,master,A,False
x1669g,female,22,Dutch,Running,64,False,False,False,False,1,True,bachelor,A,False
x1892e,male,30,Dutch,Tennis,58,True,False,False,True,2,False,master,A,True
x4137f,male,26,Dutch,Tennis,68,False,True,False,False,1,True,bachelor,A,False
x9880e,female,26,Belgian,Chess,74,False,True,True,False,1,True,phd,A,False
x8005e,male,32,Dutch,Golf,60,False,False,False,False,1,False,bachelor,A,True
x1651e,male,22,Dutch,Cricket,67,False,True,False,False,1,True,master,A,False
x9834a,male,25,Dutch,Running,63,False,False,False,False,1,True,master,A,False
x4159a,male,25,Dutch,Football,56,False,False,False,False,1,False,bachelor,A,False
x4643e,male,28,German,Football,67,False,False,True,False,0,True,master,A,False
x5958a,female,21,Dutch,Swimming,70,False,True,False,False,1,True,master,A,True
x6477e,female,28,Dutch,Chess,71,False,True,False,False,2,True,master,A,False
x1198b,female,26,Dutch,Chess,69,False,False,False,False,1,True,master,A,True
x4927e,male,24,Dutch,Football,55,False,False,False,False,1,False,bachelor,A,True
x7795g,female,21,Dutch,Chess,65,False,False,False,False,1,True,master,A,True
x8706d,male,26,Dutch,Chess,63,False,True,False,False,1,True,master,A,True
x5960b,male,32,Dutch,Rugby,64,False,False,False,True,1,False,bachelor,A,True
x8519g,male,27,Dutch,Football,69,False,True,False,False,1,True,master,A,False
x4722f,other,27,Dutch,Rugby,57,True,False,False,True,2,False,phd,A,True
x7636c,female,22,German,Golf,63,True,False,False,True,2,True,bachelor,A,False
x3506f,female,27,Dutch,Chess,64,False,True,False,False,0,True,master,A,False
x5663f,male,28,Dutch,Tennis,58,True,False,False,False,2,False,bachelor,A,False
x8454d,female,28,Dutch,Football,61,True,True,False,True,2,False,bachelor,A,False
x6328c,male,22,Dutch,Tennis,60,False,True,False,False,1,True,bachelor,A,False
x7366b,male,28,German,Football,62,False,False,False,True,2,False,bachelor,A,True
x6359c,male,28,Dutch,Football,49,True,False,False,True,2,False,bachelor,A,False
x4693g,female,25,Dutch,Chess,70,False,True,True,False,2,True,master,A,True
x4029e,female,22,Dutch,Swimming,58,False,False,False,False,0,False,bachelor,A,False
x7084d,female,24,Dutch,Swimming,70,True,False,False,True,2,True,master,A,True
x8494b,female,29,Dutch,Rugby,56,False,False,False,False,1,False,bachelor,A,False
x2194f,male,24,Dutch,Football,59,True,False,False,True,3,False,bachelor,A,True
x1831a,female,26,Dutch,Cricket,53,False,False,True,False,0,False,bachelor,A,False
x9885g,male,30,Dutch,Cricket,68,False,False,True,False,1,True,master,A,False
x6193d,male,30,Dutch,Football,57,False,False,False,False,2,False,master,A,True
x5043b,male,31,Belgian,Cricket,60,False,False,True,False,0,False,master,A,False
x1276g,male,27,Dutch,Rugby,55,True,False,False,True,2,False,master,A,True
x1977b,male,28,Dutch,Swimming,64,False,False,True,False,0,True,master,A,False
x2734d,male,25,Belgian,Football,57,False,False,False,False,1,True,bachelor,A,False
x3188e,male,26,Dutch,Swimming,62,True,False,False,False,2,True,bachelor,A,True
x6221c,female,26,German,Football,74,False,True,False,False,2,True,master,A,False
x5880f,male,21,Dutch,Tennis,69,False,True,False,False,1,True,master,A,False
x5560a,female,27,Dutch,Rugby,66,True,False,True,False,2,True,master,A,True
x2514f,female,25,Dutch,Chess,62,False,False,False,False,2,False,bachelor,A,True
x9986g,male,30,Dutch,Rugby,52,True,False,False,True,3,False,bachelor,A,False
x1248d,male,29,Dutch,Cricket,65,False,True,False,False,1,False,master,A,False
x6224c,male,30,Dutch,Rugby,56,True,False,False,True,2,False,bachelor,A,True
x4334b,female,26,Dutch,Running,65,False,False,False,False,0,True,master,A,False
x4411f,male,26,Belgian,Football,58,True,False,False,True,3,False,bachelor,A,False
x3931f,female,23,Dutch,Cricket,58,False,True,False,False,1,True,bachelor,A,False
x6800d,male,30,Dutch,Football,52,False,False,False,False,2,False,master,A,False
x5492f,male,25,Dutch,Tennis,62,False,True,False,False,1,True,bachelor,A,False
x7312g,female,29,Dutch,Cricket,57,False,False,False,False,1,False,bachelor,A,True
x3750e,female,21,Dutch,Tennis,65,False,False,False,False,1,True,bachelor,A,False
x4509b,male,26,Dutch,Golf,60,False,False,False,False,0,True,master,A,False
x3879e,male,29,Dutch,Tennis,66,True,False,False,False,2,False,master,A,True
x8968a,male,28,Belgian,Tennis,70,False,True,False,False,1,True,bachelor,A,False
x3767a,female,27,Dutch,Golf,66,True,True,False,True,2,True,bachelor,A,False
x2789f,male,24,German,Football,59,False,False,True,False,2,False,master,A,True
x4788b,female,28,German,Golf,63,False,True,False,False,1,True,bachelor,A,False
x5613g,male,25,Dutch,Running,68,False,True,True,False,1,True,master,A,False
x5635d,male,28,Dutch,Running,62,False,True,False,False,1,True,bachelor,A,True
x5523f,male,26,Belgian,Tennis,69,False,True,False,False,1,True,master,A,True
x4485c,female,26,Dutch,Chess,75,False,True,True,False,1,True,phd,A,True
x5579c,male,27,Dutch,Cricket,67,False,False,True,True,1,False,master,A,True
x8983a,female,24,Dutch,Football,64,False,False,False,False,2,True,bachelor,A,True
x3147e,male,28,Dutch,Football,48,False,False,False,False,1,False,bachelor,A,False
x1237d,female,21,Dutch,Chess,67,False,True,False,False,0,True,master,A,False
x3389d,other,24,Dutch,Chess,70,False,True,False,False,1,True,master,A,True
x5962b,male,27,German,Tennis,68,True,True,False,True,2,True,bachelor,A,False
x6908c,male,28,Dutch,Football,65,False,True,False,False,1,True,bachelor,A,False
x1554e,female,27,Dutch,Swimming,65,False,True,False,False,1,True,bachelor,A,True
x1455g,female,23,Dutch,Swimming,57,False,False,False,False,0,False,bachelor,A,False
x2679c,male,31,Dutch,Rugby,67,False,False,False,False,1,True,master,A,False
x5585b,male,23,Dutch,Swimming,61,False,False,False,False,1,False,bachelor,A,True
x9625e,female,27,Dutch,Chess,66,False,True,False,False,0,True,bachelor,A,False
x6967f,male,29,German,Rugby,59,False,False,True,False,1,False,bachelor,A,False
x3876e,male,30,Dutch,Rugby,58,False,False,True,False,1,False,master,A,True
x8809d,female,26,German,Chess,67,False,True,True,False,0,True,master,A,False
x9001d,male,32,Belgian,Cricket,58,False,False,True,False,0,False,master,A,False
x8509e,male,32,Dutch,Rugby,63,False,False,True,False,2,True,master,A,True
x9517a,female,30,Dutch,Football,65,False,False,False,False,0,True,master,A,False
x8457e,female,25,Dutch,Golf,61,False,False,False,False,1,True,bachelor,A,False
x6305f,female,26,Dutch,Chess,65,False,False,False,False,1,True,bachelor,A,True
x2898d,male,25,Dutch,Rugby,55,False,False,False,False,1,False,master,A,True
x5136b,male,31,Dutch,Golf,62,False,False,True,False,1,False,phd,A,True
x1474e,female,27,Dutch,Cricket,59,False,False,False,False,2,False,bachelor,A,True
x1476d,male,29,Dutch,Rugby,57,False,False,True,False,0,False,master,A,False
x3107b,female,21,Dutch,Swimming,61,False,False,False,False,1,False,bachelor,A,False
x2452f,female,24,Dutch,Swimming,62,False,False,False,False,1,True,bachelor,A,True
x8552d,female,26,Dutch,Football,60,False,False,False,False,1,False,bachelor,A,True
x6033c,male,22,Belgian,Tennis,71,True,True,False,False,2,True,master,A,True
x3221b,male,27,Dutch,Tennis,65,False,True,False,False,1,True,bachelor,A,False
x9884f,male,29,Dutch,Golf,69,False,False,True,False,1,True,phd,A,True
x2278g,female,30,Dutch,Cricket,54,False,False,False,False,1,False,bachelor,A,False
x2968e,female,21,Dutch,Swimming,59,False,False,False,False,1,False,bachelor,A,True
x9040c,male,22,Dutch,Football,62,False,False,False,False,2,False,bachelor,A,False
x7508f,male,24,German,Swimming,71,True,True,False,False,2,True,bachelor,A,False
x9942d,male,25,Belgian,Rugby,63,False,True,False,False,2,False,bachelor,A,True
x7781b,male,27,Belgian,Cricket,55,False,False,True,False,0,False,master,A,False
x5251b,female,22,Dutch,Running,65,False,True,False,False,0,True,bachelor,A,False
x9572c,female,27,Dutch,Running,67,False,False,True,False,0,True,master,A,False
x4459e,male,28,Belgian,Cricket,64,True,False,False,False,2,True,bachelor,A,True
x4143e,male,25,Dutch,Golf,61,False,False,False,False,1,False,bachelor,A,True
x3720f,female,25,Dutch,Swimming,67,False,True,False,False,0,True,master,A,False
x6099a,female,25,Dutch,Swimming,70,False,True,True,False,1,True,master,A,True
x8264e,female,23,German,Tennis,64,False,False,False,True,2,False,master,A,True
x7389e,male,25,Dutch,Tennis,60,True,False,False,True,2,False,bachelor,A,False
x8201d,male,27,Dutch,Football,68,True,True,False,False,2,True,bachelor,A,False
x3555c,male,26,Dutch,Football,51,True,False,False,True,3,False,bachelor,A,False
x9998f,male,24,Dutch,Tennis,72,False,True,False,False,1,True,master,A,False
x8815c,female,26,Dutch,Chess,60,False,False,False,False,1,False,bachelor,A,True
x7989d,male,24,Dutch,Football,70,False,True,False,False,1,True,master,A,True
x6759g,female,25,Dutch,Chess,71,False,True,True,False,0,True,phd,A,False
x6839c,female,27,Dutch,Chess,59,False,False,False,False,1,True,bachelor,A,False
x1065g,female,28,Dutch,Golf,64,False,False,False,False,1,True,master,A,False
x5807e,female,24,Dutch,Chess,65,False,False,False,False,1,True,bachelor,A,False
x8707b,female,30,Dutch,Football,53,False,False,False,False,2,False,master,A,False
x2216g,female,30,Belgian,Swimming,54,True,False,False,True,2,False,bachelor,A,False
x1289g,female,27,Dutch,Football,70,False,True,False,False,1,True,master,A,False
x5687d,male,24,Dutch,Swimming,66,True,True,False,True,2,True,bachelor,A,False
x2860f,female,28,Dutch,Chess,69,False,True,False,False,0,True,master,A,False
x4612a,male,24,Dutch,Rugby,51,False,False,False,False,2,False,bachelor,A,False
x4278d,male,27,Belgian,Football,63,True,False,False,True,3,False,bachelor,A,False
x8852d,male,25,German,Football,70,False,True,False,False,1,True,master,A,False
x1458a,male,27,Belgian,Running,63,False,True,True,False,0,True,master,A,False
x6688c,female,24,Dutch,Running,58,False,False,False,False,1,False,bachelor,A,True
x6516g,female,28,Dutch,Football,60,True,False,False,True,2,False,master,A,True
x3550a,male,24,Dutch,Football,65,True,False,False,True,3,False,bachelor,A,True
x3130d,male,23,Dutch,Football,66,False,True,False,False,1,True,bachelor,A,False
x3904a,male,28,German,Football,54,True,False,False,False,3,False,bachelor,A,False
x3577g,female,21,Dutch,Tennis,57,False,False,False,False,2,False,bachelor,A,False
x8344d,male,24,Dutch,Rugby,60,True,False,False,False,2,False,master,A,True
x8757e,male,30,Belgian,Golf,58,False,False,True,False,0,False,master,A,False
x9562b,male,24,German,Swimming,67,False,True,False,False,1,True,bachelor,A,False
x1771d,male,29,Dutch,Rugby,63,True,False,False,True,2,False,bachelor,A,True
x3636a,female,27,Dutch,Running,64,False,False,False,False,0,True,master,A,False
x9127e,female,24,Dutch,Running,67,True,True,False,True,2,True,master,A,True
x6872a,male,26,Dutch,Football,64,False,False,False,False,1,True,bachelor,A,False
x5217d,other,29,Dutch,Swimming,59,False,False,False,True,2,True,bachelor,A,False
x4301e,female,21,Dutch,Tennis,72,False,True,False,False,1,True,master,A,True
x3039a,other,25,Dutch,Swimming,69,False,True,True,False,0,True,master,A,False
x1850f,female,30,Dutch,Rugby,56,False,False,False,False,1,False,bachelor,A,True
x6314g,male,24,Dutch,Football,67,True,False,False,False,2,False,master,A,True
x3179f,female,23,Dutch,Swimming,59,False,False,False,False,1,False,bachelor,A,True
x6121g,male,24,Dutch,Football,52,False,False,False,True,2,False,master,A,False
x8535f,male,24,Dutch,Rugby,56,False,False,False,False,1,False,master,A,True
x6427e,female,22,Dutch,Tennis,66,False,True,False,False,1,True,bachelor,A,False
x3049g,male,26,Dutch,Football,64,True,False,False,True,2,False,master,A,True
x8731g,male,26,Dutch,Tennis,61,True,False,False,True,3,False,bachelor,A,True
x6263g,male,28,Dutch,Cricket,61,False,False,True,False,1,False,master,A,False
x6095g,female,32,Dutch,Cricket,59,False,False,False,False,0,True,bachelor,A,False
x5517d,female,23,Dutch,Tennis,66,False,False,False,False,1,True,bachelor,A,False
x6290f,male,29,Dutch,Football,53,False,False,False,False,1,False,master,A,False
x7357d,male,29,Dutch,Golf,59,False,False,True,False,0,False,bachelor,A,False
x4769d,male,29,Dutch,Football,49,False,False,False,False,2,False,bachelor,A,False
x7803f,male,22,Dutch,Running,65,False,True,False,False,1,True,bachelor,A,False
x4685d,female,23,Dutch,Chess,61,False,True,True,False,0,True,master,A,False
x3063g,female,24,Dutch,Swimming,63,False,False,False,False,1,True,master,A,True
x1417d,male,27,Dutch,Football,51,True,False,False,False,2,False,master,A,False
x2131b,female,28,Dutch,Rugby,63,False,False,False,False,0,False,bachelor,A,False
x8628g,male,26,German,Football,58,False,False,True,False,1,False,master,A,True
x9175d,male,26,Dutch,Rugby,63,True,False,False,True,3,False,bachelor,A,True
x4221b,female,26,Dutch,Football,61,True,False,True,True,3,False,master,A,True
x4525b,female,32,Dutch,Cricket,56,False,False,False,False,1,False,bachelor,A,False
x3690e,male,23,Belgian,Swimming,58,False,False,False,False,1,False,bachelor,A,False
x1509d,male,26,German,Rugby,58,True,False,False,True,3,False,bachelor,A,False
x1473b,female,25,Dutch,Running,62,False,False,False,True,1,True,bachelor,A,False
x5766b,male,30,Dutch,Cricket,58,False,False,False,False,0,False,bachelor,A,False
x7950g,female,28,Dutch,Football,56,False,False,True,False,1,False,master,A,True
x4819g,male,27,Dutch,Football,56,False,False,True,False,2,False,master,A,True
x5025f,male,22,Dutch,Running,70,True,True,False,True,2,True,bachelor,A,False
x5958c,female,25,Dutch,Chess,61,False,False,False,False,1,False,bachelor,A,True
x2198e,male,28,Dutch,Tennis,64,False,False,False,False,2,True,master,A,True
x2739c,female,27,Dutch,Running,69,False,True,True,False,1,True,master,A,False
x3793b,female,26,Belgian,Swimming,61,False,False,False,False,1,True,bachelor,A,True
x3999b,female,26,Dutch,Chess,69,False,True,False,False,0,True,master,A,False
x8538b,male,28,Dutch,Football,59,True,False,False,True,2,False,master,A,True
x7819g,male,30,Dutch,Rugby,54,True,False,False,True,3,False,master,A,False
x5958e,female,26,German,Swimming,73,False,True,False,False,2,True,master,A,True
x4894c,female,24,Dutch,Tennis,65,False,False,False,False,2,True,master,A,True
x1877c,male,25,Dutch,Swimming,55,False,False,False,False,2,False,master,A,True
x6768a,male,22,Dutch,Chess,65,False,False,False,False,0,True,bachelor,A,False
x9081a,male,22,Dutch,Football,61,False,False,False,False,1,False,bachelor,A,False
x3538b,male,27,Belgian,Tennis,74,False,True,False,False,2,True,bachelor,A,False
x6687a,female,28,Dutch,Rugby,57,False,False,True,False,0,False,master,A,False
x4090a,male,29,Dutch,Football,52,True,False,True,False,2,False,master,A,False
x5909g,male,30,Dutch,Football,57,True,False,False,True,3,False,master,A,True
x3898a,male,30,Dutch,Football,59,True,False,False,True,3,False,bachelor,A,True
x1523g,female,24,Dutch,Running,72,False,True,False,False,1,True,master,A,False
x5416c,male,29,Dutch,Golf,55,False,False,True,False,0,False,bachelor,A,False
x4067g,male,27,Dutch,Golf,59,False,False,False,False,1,False,bachelor,A,True
x6544b,male,24,Dutch,Cricket,69,True,False,False,True,2,True,bachelor,A,False
x4408f,female,30,Dutch,Football,56,True,False,False,True,3,False,master,A,True
x2662b,female,26,Dutch,Swimming,65,False,True,False,False,1,True,bachelor,A,False
x1300f,female,30,Belgian,Rugby,59,False,False,False,False,2,False,master,A,True
x8129b,female,21,Dutch,Chess,70,False,False,False,False,0,True,master,A,False
x2499g,female,27,Dutch,Tennis,63,True,False,False,True,2,False,bachelor,A,False
x6657a,male,25,German,Football,63,False,False,True,False,1,False,master,A,True
x6443g,female,21,German,Swimming,65,False,False,False,False,1,True,master,A,True
x3335f,female,22,Dutch,Running,65,False,True,True,False,0,True,master,A,False
x3845a,male,25,Belgian,Rugby,54,False,False,False,False,1,False,bachelor,A,False
x8765c,female,22,Dutch,Football,64,False,True,False,False,1,True,bachelor,A,False
x2376b,male,27,Dutch,Golf,75,True,True,False,False,2,True,master,A,True
x2856e,male,22,Dutch,Tennis,66,False,True,False,False,1,True,master,A,True
x9271d,male,26,Dutch,Running,64,False,False,False,False,2,True,bachelor,A,True
x5968g,female,23,Dutch,Swimming,65,False,False,True,False,1,True,master,A,True
x7378a,male,27,Belgian,Cricket,52,False,False,True,False,1,False,bachelor,A,False
x3950e,male,22,Dutch,Golf,69,False,True,False,True,2,True,master,A,True
x4246e,male,30,Dutch,Rugby,51,True,False,False,True,2,False,master,A,False
x3340a,male,22,Dutch,Swimming,64,False,False,False,False,1,False,bachelor,A,True
x9058g,female,27,Dutch,Football,64,False,False,False,True,2,True,master,A,True
x7870e,female,27,German,Running,64,False,True,False,False,0,True,master,A,False
x7527b,male,30,Belgian,Rugby,58,False,False,False,False,2,False,bachelor,A,False
x7225c,female,29,Dutch,Golf,63,False,False,True,False,1,False,phd,A,True
x5441g,male,24,Dutch,Tennis,49,False,False,False,True,2,False,bachelor,A,False
x1958e,female,26,German,Chess,63,False,True,False,False,1,True,master,A,False
x7424b,female,21,Dutch,Chess,62,False,False,False,False,1,False,bachelor,A,True
x6830c,male,24,Belgian,Football,65,True,False,True,False,2,False,master,A,True
x8856g,male,26,Dutch,Football,57,True,False,False,True,2,False,bachelor,A,True
x3001f,female,28,German,Swimming,72,False,True,False,False,2,True,master,A,True
x9371g,female,26,Dutch,Football,66,False,True,False,True,1,True,bachelor,A,False
x9487g,male,28,Dutch,Rugby,66,False,True,True,False,1,False,master,A,True
x3848c,female,22,Dutch,Running,57,False,False,False,False,0,False,bachelor,A,False
x9976d,male,22,Dutch,Golf,63,False,True,False,False,1,True,bachelor,A,False
x9774b,male,30,Belgian,Football,54,False,False,False,False,2,False,bachelor,A,False
x2584c,male,22,Dutch,Chess,65,False,True,False,False,0,True,master,A,False
x6590a,male,25,Dutch,Rugby,53,True,False,False,True,3,False,bachelor,A,False
x6517g,female,24,Dutch,Rugby,55,False,False,False,True,2,False,bachelor,A,False
x2409b,male,25,Dutch,Tennis,61,False,False,False,False,1,True,bachelor,A,False
x6033a,female,27,Dutch,Swimming,59,False,False,False,False,1,True,bachelor,A,True
x3421b,female,24,Dutch,Tennis,60,False,False,False,True,1,False,bachelor,A,False
x7940a,male,31,Dutch,Cricket,67,False,False,True,False,0,True,phd,A,False
x2110f,male,26,Dutch,Tennis,49,True,False,False,True,2,False,bachelor,A,False
x4492e,female,21,Dutch,Chess,66,False,False,False,False,1,True,master,A,False
x6868e,female,25,Dutch,Golf,70,False,True,False,False,1,True,bachelor,A,False
x5018f,male,26,German,Football,64,False,False,False,False,1,True,bachelor,A,False
x6682g,female,28,Dutch,Running,67,True,False,False,False,2,True,bachelor,A,False
x9986f,female,27,German,Tennis,66,False,False,True,True,2,False,master,A,True
x2479e,female,28,Dutch,Swimming,64,False,False,False,False,0,True,master,A,False
x3108g,female,22,Dutch,Swimming,71,False,True,False,False,1,True,master,A,False
x1276e,male,22,Dutch,Tennis,68,False,True,False,False,2,True,bachelor,A,False
x1399f,male,27,German,Tennis,65,False,True,False,False,1,True,bachelor,A,False
x3888b,male,26,Dutch,Football,57,False,False,False,False,1,False,bachelor,A,False
x7310d,male,26,Dutch,Rugby,49,True,False,False,True,2,False,bachelor,A,False
x1555e,female,28,Dutch,Tennis,64,True,False,False,False,2,True,bachelor,A,True
x3940a,male,24,German,Football,57,False,False,False,False,2,False,bachelor,A,False
x7645b,female,26,Dutch,Tennis,63,True,False,True,True,2,False,master,A,True
x2126e,female,31,Belgian,Cricket,68,False,True,True,False,1,True,phd,A,False
x2316f,female,30,Dutch,Rugby,67,False,True,False,False,0,True,master,A,False
x4030c,female,22,Dutch,Golf,69,True,True,False,False,2,True,bachelor,A,False
x1331d,other,26,Dutch,Swimming,68,False,True,False,False,1,True,bachelor,A,True
x3151d,male,26,Dutch,Football,56,False,False,False,False,2,False,master,A,True
x8195a,male,27,Dutch,Football,53,False,False,False,False,0,False,bachelor,A,False
x9180f,female,23,Belgian,Chess,61,False,False,False,False,1,False,master,A,True
x1770g,male,30,Dutch,Swimming,49,True,False,False,False,2,False,bachelor,A,False
x7456d,male,25,German,Football,52,True,False,False,True,3,False,bachelor,A,False
x8415b,male,26,German,Football,62,True,False,True,True,3,False,master,A,True
x7814g,female,26,Dutch,Football,50,False,False,False,False,1,False,bachelor,A,False
x5357d,female,21,Dutch,Running,73,False,True,True,False,1,True,master,A,False
x8070d,female,27,Dutch,Running,70,True,True,False,False,1,True,master,A,True
x6158c,female,24,Dutch,Running,59,False,False,False,False,0,False,bachelor,A,False
x7638c,female,28,Belgian,Swimming,76,False,True,True,False,2,True,phd,A,True
x7799e,male,24,Dutch,Tennis,65,True,False,False,True,2,True,bachelor,A,True
x4923e,male,29,Dutch,Rugby,50,True,False,False,False,2,False,bachelor,A,False
x6848e,male,27,Belgian,Swimming,61,True,False,False,True,3,False,master,A,True
